Subfolder,Alerts,Filestore files,Protocol transactions
0,206,27,113
0.5,220,27,113
1,237,23,85
1,0,164,0,164,0
1.5,263,23,101
2,244,15,57
5,217,8,36
10,275,12,45
25,228,10,27
50,131,3,10
198,45,300,45,300,0
